Name,Sent_rxns,Rec_rxns,Rec_msgs,Sent_msgs,Sent_msgs_per_sent_rxn,Recv_msgs_per_Rec_rxn,Sent_msgs_per_Rec_rxn,Recv_msgs_per_sent_rxn
randeepsingh_y3clhqfihw,3,9,24,17,5.666666666666667,2.6666666666666665,1.8888888888888888,8.0
ren_wb-hff9qya,27,86,229,206,7.62962962962963,2.6627906976744184,2.395348837209302,8.481481481481481
ridhwanrahmat_5rray1afbg,5,12,53,47,9.4,4.416666666666667,3.9166666666666665,10.6
rishivarman_cqvdrzi_ng,25,35,10,13,0.52,0.2857142857142857,0.37142857142857144,0.4
roshni_vezuw7dxya,24,39,72,45,1.875,1.8461538461538463,1.1538461538461537,3.0
roslina_5qmv2neysg,2,7,2,14,7.0,0.2857142857142857,2.0,1.0
rubinishreeroshnisree_jbtxfgdnvg,16,14,87,50,3.125,6.214285714285714,3.5714285714285716,5.4375
rubinishree_lqm5ldymrw,10,25,100,64,6.4,4.0,2.56,10.0
rudrani_8_sln4uepq,23,39,48,41,1.7826086956521738,1.2307692307692308,1.0512820512820513,2.0869565217391304
sadiqa_pcow0anvbw,9,16,9,20,2.2222222222222223,0.5625,1.25,1.0
safreenxoxo_dqy8klv90q,1,10,1,5,5.0,0.1,0.5,1.0
sahranchandra_7rk9gcwk-a,2,2,3,1,0.5,1.5,0.5,1.5
sanjanacancana_ycazaccjyg,4,13,8,18,4.5,0.6153846153846154,1.3846153846153846,2.0
saravananrajendran_ji60dokozg,49,79,72,43,0.8775510204081632,0.9113924050632911,0.5443037974683544,1.469387755102041
sarikanishaini__qi9jlfb5-w,16,37,13,22,1.375,0.35135135135135137,0.5945945945945946,0.8125
sathiaseelan_z95izudcua,11,26,31,33,3.0,1.1923076923076923,1.2692307692307692,2.8181818181818183
sebasteanjames_lotod9plfa,9,23,56,46,5.111111111111111,2.4347826086956523,2.0,6.222222222222222
sg_f13re4-dtg,1,4,4,6,6.0,1.0,1.5,4.0
shabirsapir_81co56emhw,17,18,7,6,0.35294117647058826,0.3888888888888889,0.3333333333333333,0.4117647058823529
shabrinakhan_pqtrxthvna,5,12,3,6,1.2,0.25,0.5,0.6
shab_q2yifqm2ya,10,20,29,49,4.9,1.45,2.45,2.9
shafaqahirah_fjb2dxg0sq,7,20,5,5,0.7142857142857143,0.25,0.25,0.7142857142857143
shah_qfpnbz701w,2,3,1,2,1.0,0.3333333333333333,0.6666666666666666,0.5
shaleni_iinxle_x6g,6,10,8,13,2.1666666666666665,0.8,1.3,1.3333333333333333
shalini_ekh7hgvhgg,2,8,5,5,2.5,0.625,0.625,2.5
shamsheerahamed_c3pgovqhfw,25,24,30,25,1.0,1.25,1.0416666666666667,1.2
shanazfarvin_7lg42vrvpq,70,160,344,372,5.314285714285714,2.15,2.325,4.914285714285715
shankar_3mylfdrkqq,1,2,4,4,4.0,2.0,2.0,4.0
shan_q-n90l5kgq,6,14,20,24,4.0,1.4285714285714286,1.7142857142857142,3.3333333333333335
sharnim_y1q1dlkvqw,36,47,371,90,2.5,7.8936170212765955,1.9148936170212767,10.305555555555555
shifana_xdxmaat83q,2,8,7,4,2.0,0.875,0.5,3.5
shini_pke2qhd9fw,2,19,23,34,17.0,1.2105263157894737,1.7894736842105263,11.5
shruthinair_phyxiqyjza,152,281,270,100,0.6578947368421053,0.9608540925266904,0.35587188612099646,1.7763157894736843
shruthi_umgmg8neiq,4,12,45,33,8.25,3.75,2.75,11.25
siddrth_cgpd0enjpw,10,11,2,5,0.5,0.18181818181818182,0.45454545454545453,0.2
sooriyah_ucnihrcnfg,23,42,53,140,6.086956521739131,1.2619047619047619,3.3333333333333335,2.3043478260869565
srinidhimanikantan_unox3cg_3a,8,13,13,15,1.875,1.0,1.1538461538461537,1.625
subbiahsaravanan_cj_afmxcxw,4,5,26,11,2.75,5.2,2.2,6.5
suganiahtheonabalu_xc-jlypwaa,24,96,195,166,6.916666666666667,2.03125,1.7291666666666667,8.125
suganiahtheona_ppx4mgyhfa,3,21,34,44,14.666666666666666,1.619047619047619,2.0952380952380953,11.333333333333334
suganthi_llikqmraaa,5,14,11,11,2.2,0.7857142857142857,0.7857142857142857,2.2
syafiqah_homjkdko1q,3,13,36,39,13.0,2.769230769230769,3.0,12.0
syasya_aap3_7nxfa,1,1,2,2,2.0,2.0,2.0,2.0
thahira_nzvkatfzdg,7,41,21,48,6.857142857142857,0.5121951219512195,1.170731707317073,3.0
tharshini_4rxlozarra,2,8,6,7,3.5,0.75,0.875,3.0
thawfiqabanu_przsmscr7w,2,7,25,19,9.5,3.5714285714285716,2.7142857142857144,12.5
thealchemist23_ypugyccoxa,7,12,4,9,1.2857142857142858,0.3333333333333333,0.75,0.5714285714285714
theerthana_cfb1xah__a,1,2,3,1,1.0,1.5,0.5,3.0
thenappashanmuham_xirvg069na,4,10,3,3,0.75,0.3,0.3,0.75
thinakar_pz0bxowkww,3,7,2,4,1.3333333333333333,0.2857142857142857,0.5714285714285714,0.6666666666666666
thivyapillai_yttf24fwow,2,6,33,26,13.0,5.5,4.333333333333333,16.5
toediaries_qh-ewjok8g,86,297,1277,1055,12.267441860465116,4.299663299663299,3.5521885521885523,14.848837209302326
vineethkeshav_e9-060wb4w,3,9,5,4,1.3333333333333333,0.5555555555555556,0.4444444444444444,1.6666666666666667
vineshapillaivinisa_xzcqgkjrkq,2,9,7,7,3.5,0.7777777777777778,0.7777777777777778,3.5
vinodan_ghg3qluxoq,75,134,43,52,0.6933333333333334,0.3208955223880597,0.3880597014925373,0.5733333333333334
vin_qgyxdmammg,2,3,12,9,4.5,4.0,3.0,6.0
vin_vybfdnahua,7,17,76,79,11.285714285714286,4.470588235294118,4.647058823529412,10.857142857142858
vishnuu_pnr1bl8hja,2,6,2,3,1.5,0.3333333333333333,0.5,1.0
yuketacea_siqpcqf07g,7,19,41,30,4.285714285714286,2.1578947368421053,1.5789473684210527,5.857142857142857
zakyrmuhd_oomgbqeuta,1,11,53,36,36.0,4.818181818181818,3.272727272727273,53.0
_kidflame__sprsgcam2w,3,4,11,11,3.6666666666666665,2.75,2.75,3.6666666666666665
